ID	CONCEPT	DOCULECT	VALUE	FORM	TOKENS	GLOTTOLOG	COG	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	ALIGNMENT	CROSSIDS
866	ashes	ChaYeQing	kafaːŋ	kafaːŋ	k a + f aː ŋ		1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	2	2.K.C 2.A.V 2._._ 2.B.C 2.A.V 2.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	36 37	k a + f aː ŋ	1264 37
867	ashes	GuangKa	kafaːŋ	kafaːŋ	k a + f aː ŋ	ruma1248	1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	4	4.K.C 4.A.V 4._._ 4.B.C 4.A.V 4.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	36 37	k a + f aː ŋ	1264 37
868	ashes	MangBang	kafaːŋ	kafaːŋ	k a + f aː ŋ	ruma1248	1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	7	7.K.C 7.A.V 7._._ 7.B.C 7.A.V 7.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	36 37	k a + f aː ŋ	1264 37
869	ashes	NanSang	kafaːŋ	kafaːŋ	k a + f aː ŋ	ruma1248	1-55	1 7 9 3 7 4	AX_AXN	KA_BAN	11	11.K.C 11.A.V 11._._ 11.B.C 11.A.V 11.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+faːŋ	0	36 37	k a + f aː ŋ	1264 37
369	bird	NamHsan	sim	sim	s i m		1-24	3 7 4	AXN	SIM	10	10.S.C 10.I.V 10.M.c	2.0 1.5 0.8	sim	0	68	s i m	68
370	bird	KhunHawt	sim	sim	s i m		1-24	3 7 4	AXN	SIM	6	6.S.C 6.I.V 6.M.c	2.0 1.5 0.8	sim	0	68	s i m	68
371	bird	HtanHsan	sim	sim	s i m		1-24	3 7 4	AXN	SIM	5	5.S.C 5.I.V 5.M.c	2.0 1.5 0.8	sim	0	68	s i m	68
372	bird	PangKham	sim	sim	s i m		1-24	3 7 4	AXN	SIM	14	14.S.C 14.I.V 14.M.c	2.0 1.5 0.8	sim	0	68	s i m	68
373	bird	ManLoi	sim	sim	s i m		1-24	3 7 4	AXN	SIM	8	8.S.C 8.I.V 8.M.c	2.0 1.5 0.8	sim	0	68	s i m	68
374	bird	MengDan	sim	sim	s i m	khan1274	1-24	3 7 4	AXN	SIM	9	9.S.C 9.I.V 9.M.c	2.0 1.5 0.8	sim	0	68	s i m	68
375	bird	ChuDongGua	sim	sim	s i m		1-24	3 7 4	AXN	SIM	3	3.S.C 3.I.V 3.M.c	2.0 1.5 0.8	sim	0	68	s i m	68
376	bird	XiangZhaiTang	siːm	siːm	s iː m	ruma1248	1-24	3 7 4	AXN	SIM	16	16.S.C 16.I.V 16.M.c	2.0 1.5 0.8	siːm	0	68	s iː m	68
377	bird	PongNuea	masiːm	masiːm	m a + s iː m		1-24	4 7 9 3 7 4	AX_AXN	MA_SIM	15	15.M.C 15.A.V 15._._ 15.S.C 15.I.V 15.M.c	2.0 1.5 0.0 2.0 1.5 0.8	ma+siːm	0	67 68	m a + s iː m	1753 68
378	bird	NyaungGone	masim	masim	m a + s i m		1-24	4 7 9 3 7 4	AX_AXN	MA_SIM	13	13.M.C 13.A.V 13._._ 13.S.C 13.I.V 13.M.c	2.0 1.5 0.0 2.0 1.5 0.8	ma+sim	0	67 68	m a + s i m	1753 68
379	bird	NoeLae	masim	masim	m a + s i m		1-24	4 7 9 3 7 4	AX_AXN	MA_SIM	12	12.M.C 12.A.V 12._._ 12.S.C 12.I.V 12.M.c	2.0 1.5 0.0 2.0 1.5 0.8	ma+sim	0	67 68	m a + s i m	1753 68
380	bird	BanPaw	masim	masim	m a + s i m		1-24	4 7 9 3 7 4	AX_AXN	MA_SIM	1	1.M.C 1.A.V 1._._ 1.S.C 1.I.V 1.M.c	2.0 1.5 0.0 2.0 1.5 0.8	ma+sim	0	67 68	m a + s i m	1753 68
381	bird	ChaYeQing	siːm	siːm	s iː m		1-24	3 7 4	AXN	SIM	2	2.S.C 2.I.V 2.M.c	2.0 1.5 0.8	siːm	0	68	s iː m	68
382	bird	GuangKa	siːm	siːm	s iː m	ruma1248	1-24	3 7 4	AXN	SIM	4	4.S.C 4.I.V 4.M.c	2.0 1.5 0.8	siːm	0	68	s iː m	68
383	bird	MangBang	siːm	siːm	s iː m	ruma1248	1-24	3 7 4	AXN	SIM	7	7.S.C 7.I.V 7.M.c	2.0 1.5 0.8	siːm	0	68	s iː m	68
384	bird	NanSang	siːm	siːm	s iː m	ruma1248	1-24	3 7 4	AXN	SIM	11	11.S.C 11.I.V 11.M.c	2.0 1.5 0.8	siːm	0	68	s iː m	68
321	bite	NamHsan	ɡaɁ	ɡaɁ	g a ʔ		1-21	1 7 1	AXN	KAH	10	10.K.C 10.A.V 10.H.c	2.0 1.5 0.8	gaʔ	0	88	g a ʔ	88
322	bite	KhunHawt	ɡaɁ	ɡaɁ	g a ʔ		1-21	1 7 1	AXN	KAH	6	6.K.C 6.A.V 6.H.c	2.0 1.5 0.8	gaʔ	0	88	g a ʔ	88
323	bite	HtanHsan	ɡaɁ	ɡaɁ	g a ʔ		1-21	1 7 1	AXN	KAH	5	5.K.C 5.A.V 5.H.c	2.0 1.5 0.8	gaʔ	0	88	g a ʔ	88
324	bite	PangKham	ɡak	ɡak	g a k		1-21	1 7 1	AXN	KAK	14	14.K.C 14.A.V 14.K.c	2.0 1.5 0.8	gak	0	88	g a k	88
325	bite	ManLoi	kak	kak	k a k		1-21	1 7 1	AXN	KAK	8	8.K.C 8.A.V 8.K.c	2.0 1.5 0.8	kak	0	88	k a k	88
326	bite	MengDan	kiaʔ	kiaʔ	k ia ʔ	khan1274	1-21	1 7 1	AXN	KIH	9	9.K.C 9.I.V 9.H.c	2.0 1.5 0.8	kiaʔ	0	88	k ia ʔ	88
327	bite	ChuDongGua	ɡa?	ɡa?	g a ʔ		1-21	1 7 1	AXN	KAH	3	3.K.C 3.A.V 3.H.c	2.0 1.5 0.8	gaʔ	0	88	g a ʔ	88
328	bite	XiangZhaiTang	kɔɁ	kɔɁ	k ɔ ʔ	ruma1248	1-21	1 7 1	AXN	KUH	16	16.K.C 16.U.V 16.H.c	2.0 1.5 0.8	kɔʔ	0	88	k ɔ ʔ	88
329	bite	PongNuea	kauɁ	kauɁ	k au ʔ		1-21	1 7 1	AXN	KAH	15	15.K.C 15.A.V 15.H.c	2.0 1.5 0.8	kauʔ	0	88	k au ʔ	88
330	bite	NyaungGone	kauʔ	kauʔ	k au ʔ		1-21	1 7 1	AXN	KAH	13	13.K.C 13.A.V 13.H.c	2.0 1.5 0.8	kauʔ	0	88	k au ʔ	88
331	bite	NoeLae	kauɁ	kauɁ	k au ʔ		1-21	1 7 1	AXN	KAH	12	12.K.C 12.A.V 12.H.c	2.0 1.5 0.8	kauʔ	0	88	k au ʔ	88
332	bite	BanPaw	kauɁ	kauɁ	k au ʔ		1-21	1 7 1	AXN	KAH	1	1.K.C 1.A.V 1.H.c	2.0 1.5 0.8	kauʔ	0	88	k au ʔ	88
333	bite	ChaYeQing	ɡak	ɡak	g a k		1-21	1 7 1	AXN	KAK	2	2.K.C 2.A.V 2.K.c	2.0 1.5 0.8	gak	0	88	g a k	88
334	bite	GuangKa	ɡak	ɡak	g a k	ruma1248	1-21	1 7 1	AXN	KAK	4	4.K.C 4.A.V 4.K.c	2.0 1.5 0.8	gak	0	88	g a k	88
335	bite	MangBang	ɡɔk	ɡɔk	g ɔ k	ruma1248	1-21	1 7 1	AXN	KUK	7	7.K.C 7.U.V 7.K.c	2.0 1.5 0.8	gɔk	0	88	g ɔ k	88
336	bite	NanSang	kɔk	kɔk	k ɔ k	ruma1248	1-21	1 7 1	AXN	KUK	11	11.K.C 11.U.V 11.K.c	2.0 1.5 0.8	kɔk	0	88	k ɔ k	88
1427	black	NamHsan	ʥәm	ʥәm	dʑ ə m		1-91	2 7 4	AXN	CEM	10	10.C.C 10.E.V 10.M.c	2.0 1.5 0.8	dʑəm	0	106	dʑ ə m	106
1428	black	KhunHawt	ʥәm	ʥәm	dʑ ə m		1-91	2 7 4	AXN	CEM	6	6.C.C 6.E.V 6.M.c	2.0 1.5 0.8	dʑəm	0	106	dʑ ə m	106
1429	black	HtanHsan	ʥәm	ʥәm	dʑ ə m		1-91	2 7 4	AXN	CEM	5	5.C.C 5.E.V 5.M.c	2.0 1.5 0.8	dʑəm	0	106	dʑ ə m	106
1430	black	PangKham	vaŋ	vaŋ	v a ŋ		2-91	3 7 4	AXN	BAN	14	14.B.C 14.A.V 14.N.c	2.0 1.5 0.8	vaŋ	0	105	v a ŋ	105
1431	black	ManLoi	vaŋ	vaŋ	v a ŋ		2-91	3 7 4	AXN	BAN	8	8.B.C 8.A.V 8.N.c	2.0 1.5 0.8	vaŋ	0	105	v a ŋ	105
1432	black	MengDan	vaŋ	vaŋ	v a ŋ	khan1274	2-91	3 7 4	AXN	BAN	9	9.B.C 9.A.V 9.N.c	2.0 1.5 0.8	vaŋ	0	105	v a ŋ	105
1433	black	ChuDongGua	vaŋ	vaŋ	v a ŋ		2-91	3 7 4	AXN	BAN	3	3.B.C 3.A.V 3.N.c	2.0 1.5 0.8	vaŋ	0	105	v a ŋ	105
1434	black	XiangZhaiTang	vɔŋ	vɔŋ	v ɔ ŋ	ruma1248	2-91	3 7 4	AXN	BUN	16	16.B.C 16.U.V 16.N.c	2.0 1.5 0.8	vɔŋ	0	105	v ɔ ŋ	105
1435	black	PongNuea	vɔŋ	vɔŋ	v ɔ ŋ		2-91	3 7 4	AXN	BUN	15	15.B.C 15.U.V 15.N.c	2.0 1.5 0.8	vɔŋ	0	105	v ɔ ŋ	105
1436	black	NyaungGone	vɔk	vɔk	v ɔ k		2-91	3 7 1	AXN	BUK	13	13.B.C 13.U.V 13.K.c	2.0 1.5 0.8	vɔk	0	105	v ɔ k	105
1437	black	NoeLae	vɔŋ	vɔŋ	v ɔ ŋ		2-91	3 7 4	AXN	BUN	12	12.B.C 12.U.V 12.N.c	2.0 1.5 0.8	vɔŋ	0	105	v ɔ ŋ	105
1438	black	BanPaw	vɔŋ	vɔŋ	v ɔ ŋ		2-91	3 7 4	AXN	BUN	1	1.B.C 1.U.V 1.N.c	2.0 1.5 0.8	vɔŋ	0	105	v ɔ ŋ	105
1439	black	ChaYeQing	vaŋ	vaŋ	v a ŋ		2-91	3 7 4	AXN	BAN	2	2.B.C 2.A.V 2.N.c	2.0 1.5 0.8	vaŋ	0	105	v a ŋ	105
1440	black	GuangKa	vɔŋ	vɔŋ	v ɔ ŋ	ruma1248	2-91	3 7 4	AXN	BUN	4	4.B.C 4.U.V 4.N.c	2.0 1.5 0.8	vɔŋ	0	105	v ɔ ŋ	105
1441	black	MangBang	vɔŋ	vɔŋ	v ɔ ŋ	ruma1248	2-91	3 7 4	AXN	BUN	7	7.B.C 7.U.V 7.N.c	2.0 1.5 0.8	vɔŋ	0	105	v ɔ ŋ	105
1442	black	NanSang	Ɂivɔŋ	Ɂivɔŋ	ʔ i + v ɔ ŋ	ruma1248	2-91	1 7 9 3 7 4	AX_AXN	HI_BUN	11	11.H.C 11.I.V 11._._ 11.B.C 11.U.V 11.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ʔi+vɔŋ	0	107 105	ʔ i + v ɔ ŋ	107 105
745	blood	NamHsan	n̥aːm	n̥aːm	n̥ aː m		1-48	4 7 4	AXN	NAM	10	10.N.C 10.A.V 10.M.c	2.0 1.5 0.8	n̥aːm	0	123	n̥ aː m	123
746	blood	KhunHawt	n̥aːm	n̥aːm	n̥ aː m		1-48	4 7 4	AXN	NAM	6	6.N.C 6.A.V 6.M.c	2.0 1.5 0.8	n̥aːm	0	123	n̥ aː m	123
747	blood	HtanHsan	n̥aːm	n̥aːm	n̥ aː m		1-48	4 7 4	AXN	NAM	5	5.N.C 5.A.V 5.M.c	2.0 1.5 0.8	n̥aːm	0	123	n̥ aː m	123
748	blood	PangKham	n̥a:m	n̥a:m	n̥ aː m		1-48	4 7 4	AXN	NAM	14	14.N.C 14.A.V 14.M.c	2.0 1.5 0.8	n̥aːm	0	123	n̥ aː m	123
749	blood	ManLoi	n̥aːm	n̥aːm	n̥ aː m		1-48	4 7 4	AXN	NAM	8	8.N.C 8.A.V 8.M.c	2.0 1.5 0.8	n̥aːm	0	123	n̥ aː m	123
750	blood	MengDan	n̥ɛːm	n̥ɛːm	n̥ ɛː m	khan1274	1-48	4 7 4	AXN	NEM	9	9.N.C 9.E.V 9.M.c	2.0 1.5 0.8	n̥ɛːm	0	123	n̥ ɛː m	123
751	blood	ChuDongGua	n̥aːm	n̥aːm	n̥ aː m		1-48	4 7 4	AXN	NAM	3	3.N.C 3.A.V 3.M.c	2.0 1.5 0.8	n̥aːm	0	123	n̥ aː m	123
752	blood	XiangZhaiTang	n̥aːm	n̥aːm	n̥ aː m	ruma1248	1-48	4 7 4	AXN	NAM	16	16.N.C 16.A.V 16.M.c	2.0 1.5 0.8	n̥aːm	0	123	n̥ aː m	123
753	blood	PongNuea	n̥aːm	n̥aːm	n̥ aː m		1-48	4 7 4	AXN	NAM	15	15.N.C 15.A.V 15.M.c	2.0 1.5 0.8	n̥aːm	0	123	n̥ aː m	123
754	blood	NyaungGone	n̥am	n̥am	n̥ a m		1-48	4 7 4	AXN	NAM	13	13.N.C 13.A.V 13.M.c	2.0 1.5 0.8	n̥am	0	123	n̥ a m	123
755	blood	NoeLae	n̥am	n̥am	n̥ a m		1-48	4 7 4	AXN	NAM	12	12.N.C 12.A.V 12.M.c	2.0 1.5 0.8	n̥am	0	123	n̥ a m	123
756	blood	BanPaw	n̥am	n̥am	n̥ a m		1-48	4 7 4	AXN	NAM	1	1.N.C 1.A.V 1.M.c	2.0 1.5 0.8	n̥am	0	123	n̥ a m	123
757	blood	ChaYeQing	n̥aːm	n̥aːm	n̥ aː m		1-48	4 7 4	AXN	NAM	2	2.N.C 2.A.V 2.M.c	2.0 1.5 0.8	n̥aːm	0	123	n̥ aː m	123
758	blood	GuangKa	n̥aːm	n̥aːm	n̥ aː m	ruma1248	1-48	4 7 4	AXN	NAM	4	4.N.C 4.A.V 4.M.c	2.0 1.5 0.8	n̥aːm	0	123	n̥ aː m	123
759	blood	MangBang	n̥aːm	n̥aːm	n̥ aː m	ruma1248	1-48	4 7 4	AXN	NAM	7	7.N.C 7.A.V 7.M.c	2.0 1.5 0.8	n̥aːm	0	123	n̥ aː m	123
760	blood	NanSang	n̥aːm	n̥aːm	n̥ aː m	ruma1248	1-48	4 7 4	AXN	NAM	11	11.N.C 11.A.V 11.M.c	2.0 1.5 0.8	n̥aːm	0	123	n̥ aː m	123
697	bone	NamHsan	kaɁaːŋ	kaɁaːŋ	k a + ʔ aː ŋ		1-45	1 7 9 1 7 4	AX_AXN	KA_HAN	10	10.K.C 10.A.V 10._._ 10.H.C 10.A.V 10.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+ʔaːŋ	0	140 141	k a - + ʔ aː ŋ	176 141
698	bone	KhunHawt	kanɁaːŋ	kanɁaːŋ	k a n + ʔ aː ŋ		1-45	1 7 4 9 1 7 4	AXN_AXN	KAN_HAN	6	6.K.C 6.A.V 6.N.c 6._._ 6.H.C 6.A.V 6.N.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	kan+ʔaːŋ	0	140 141	k a n + ʔ aː ŋ	176 141
699	bone	HtanHsan	kәnɁaːŋ	kәnɁaːŋ	k ə n + ʔ aː ŋ		1-45	1 7 4 9 1 7 4	AXN_AXN	KEN_HAN	5	5.K.C 5.E.V 5.N.c 5._._ 5.H.C 5.A.V 5.N.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	kən+ʔaːŋ	0	140 141	k ə n + ʔ aː ŋ	176 141
700	bone	PangKham	kaɁaːŋ	kaɁaːŋ	k a + ʔ aː ŋ		1-45	1 7 9 1 7 4	AX_AXN	KA_HAN	14	14.K.C 14.A.V 14._._ 14.H.C 14.A.V 14.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+ʔaːŋ	0	140 141	k a - + ʔ aː ŋ	176 141
701	bone	ManLoi	kaɁaːŋ	kaɁaːŋ	k a + ʔ aː ŋ		1-45	1 7 9 1 7 4	AX_AXN	KA_HAN	8	8.K.C 8.A.V 8._._ 8.H.C 8.A.V 8.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+ʔaːŋ	0	140 141	k a - + ʔ aː ŋ	176 141
702	bone	MengDan	kaʔɛːŋ	kaʔɛːŋ	k a + ʔ ɛː ŋ	khan1274	1-45	1 7 9 1 7 4	AX_AXN	KA_HEN	9	9.K.C 9.A.V 9._._ 9.H.C 9.E.V 9.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+ʔɛːŋ	0	140 141	k a - + ʔ ɛː ŋ	176 141
703	bone	ChuDongGua	kaɁaːŋ	kaɁaːŋ	k a + ʔ aː ŋ		1-45	1 7 9 1 7 4	AX_AXN	KA_HAN	3	3.K.C 3.A.V 3._._ 3.H.C 3.A.V 3.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ka+ʔaːŋ	0	140 141	k a - + ʔ aː ŋ	176 141
